PAYGRADE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
O-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3
O-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16012.5,16012.5,16243.8,16243.8,16576.8,16576.8,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3,16608.3
O-8,11329.5,11701.2,11947.5,12016.2,12016.2,12323.4,12323.4,12836.7,12836.7,12956.4,12956.4,13443.6,13443.6,13584.0,13584.0,14004.0,14004.0,14611.8,14611.8,15171.9,15171.9,15546.0,15546.0,15546.0,15546.0,15546.0,15546.0,15546.0,15546.0,15935.4,15935.4,15935.4,15935.4,16333.2,16333.2,16333.2,16333.2,16333.2,16333.2,16333.2
O-7,9414.3,9851.4,10053.9,10215.0,10215.0,10506.0,10506.0,10794.0,10794.0,11126.7,11126.7,11458.2,11458.2,11791.2,11791.2,12836.7,12836.7,13719.3,13719.3,13719.3,13719.3,13719.3,13719.3,13719.3,13719.3,13789.8,13789.8,13789.8,13789.8,14065.8,14065.8,14065.8,14065.8,14065.8,14065.8,14065.8,14065.8,14065.8,14065.8,14065.8
O-6,7139.1,7842.9,8357.7,8357.7,8357.7,8389.8,8389.8,8749.2,8749.2,8796.9,8796.9,8796.9,8796.9,9296.7,9296.7,10180.5,10180.5,10699.2,10699.2,11217.6,11217.6,11512.8,11512.8,11811.9,11811.9,12390.9,12390.9,12390.9,12390.9,12638.4,12638.4,12638.4,12638.4,12638.4,12638.4,12638.4,12638.4,12638.4,12638.4,12638.4
O-5,5951.4,6704.4,7168.2,7255.5,7255.5,7545.6,7545.6,7718.4,7718.4,8099.4,8099.4,8379.6,8379.6,8740.8,8740.8,9293.1,9293.1,9555.9,9555.9,9816.0,9816.0,10111.2,10111.2,10111.2,10111.2,10111.2,10111.2,10111.2,10111.2,10111.2,10111.2,10111.2,10111.2,10111.2,10111.2,10111.2,10111.2,10111.2,10111.2,10111.2
O-4,5135.1,5943.9,6341.1,6429.0,6429.0,6797.1,6797.1,7192.2,7192.2,7684.2,7684.2,8066.7,8066.7,8332.5,8332.5,8485.5,8485.5,8573.7,8573.7,8573.7,8573.7,8573.7,8573.7,8573.7,8573.7,8573.7,8573.7,8573.7,8573.7,8573.7,8573.7,8573.7,8573.7,8573.7,8573.7,8573.7,8573.7,8573.7,8573.7,8573.7
O-3,4514.7,5117.7,5523.3,6022.8,6022.8,6311.7,6311.7,6628.2,6628.2,6832.8,6832.8,7169.4,7169.4,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2,7345.2
O-2,3901.2,4442.7,5116.8,5289.9,5289.9,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5,5398.5
O-1,3385.8,3524.4,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6,4260.6
